RowNum,DumpTblNm,DumpFldNm,AccessTblNm,AccessFldNm,IndexOnField,DataFormat,NULL_allowed,ForeignKey,ForeignKeyBaseField
119,biog_main,享年(death_age),BIOG_MAIN,c_death_age,,Integer,True,,
120,biog_main,享年範圍(death_age_appro),BIOG_MAIN,c_death_age_range,,Integer,True,year_range_codes,c_range_code
115,biog_main,卒年(death year),BIOG_MAIN,c_deathyear,,Integer,True,,
134,biog_main,朝代(dy),BIOG_MAIN,c_dy,,Integer,True,dynasties,c_dy
144,biog_main,卒年(日)(c_dy_day),BIOG_MAIN,c_dy_day,,Integer,True,,
146,biog_main,卒年(日干支)(c_dy_day_gz),BIOG_MAIN,c_dy_day_gz,,Integer,True,GANZHI_CODES,c_ganzhi_code
140,biog_main,卒年(閏)(c_dy_intercalary),BIOG_MAIN,c_dy_intercalary,,Binary,True,,
142,biog_main,卒年(月)(c_dy_month),BIOG_MAIN,c_dy_month,,Integer,True,,
116,biog_main,卒年(年號)(dy_nh_code),BIOG_MAIN,c_dy_nh_code,,Integer,True,nian_hao,c_nianhao_id
117,biog_main,卒年(年)(dy_nh_year),BIOG_MAIN,c_dy_nh_year,,Integer,True,,
118,biog_main,卒年時限(dy_range),BIOG_MAIN,c_dy_range,,Integer,True,year_range_codes,c_range_code
109,biog_main,種族(ethnicity_code),BIOG_MAIN,c_ethnicity_code,,Integer,True,ETHNICITY_CODES,c_ethnicity_code
108,biog_main,性別(原female),BIOG_MAIN,c_female,,Binary,True,,
121,biog_main,在世始年(fl_earliest_year),BIOG_MAIN,c_fl_earliest_year,,Integer,True,,
122,biog_main,在世始年(年號)(fl_ey_nh_code),BIOG_MAIN,c_fl_ey_nh_code,,Integer,True,nian_hao,c_nianhao_id
123,biog_main,在世始年(年)(fl_ey_nh_year),BIOG_MAIN,c_fl_ey_nh_year,,Integer,True,,
124,biog_main,在世始年(注)(fl_ey_notes),BIOG_MAIN,c_fl_ey_notes,,Text,True,,
125,biog_main,在世終年(fl_latest_year),BIOG_MAIN,c_fl_latest_year,,Integer,True,,
126,biog_main,在世終年(年號)(fl_ly_nh_code),BIOG_MAIN,c_fl_ly_nh_code,,Integer,True,nian_hao,c_nianhao_id
127,biog_main,在世終年(年)(fl_ly_nh_year),BIOG_MAIN,c_fl_ly_nh_year,,Integer,True,,
128,biog_main,在世終年(注)(fl_ly_notes),BIOG_MAIN,c_fl_ly_notes,,Text,True,,
,,,BIOG_MAIN,c_household_status_code,,Integer,True,HOUSEHOLD_STATUS_CODES,c_household_status_code
,,,BIOG_MAIN,c_index_addr_id,,Long,True,ADDR_CODES,c_addr_id
,,,BIOG_MAIN,c_index_addr_type_code,,Integer,True,BIOG_ADDR_CODES,c_addr_type
107,biog_main,指數年(index year),BIOG_MAIN,c_index_year,,Integer,True,,
,,,BIOG_MAIN,c_index_year_source_id,,Long,True,TEXT_CODES,c_textid
,,,BIOG_MAIN,c_index_year_type_code,,Text,True,,
132,biog_main,(mingzi),BIOG_MAIN,c_mingzi,,Text,True,,
133,biog_main,名(mingzi_chn),BIOG_MAIN,c_mingzi_chn,,Text,True,,
,,,BIOG_MAIN,c_mingzi_proper,,Text,True,,
,,,BIOG_MAIN,c_mingzi_rm,,Text,True,,
,,,BIOG_MAIN,c_modified_by,,Text,True,,
,,,BIOG_MAIN,c_modified_date,,Date/Time,True,,
103,biog_main,姓名(英)(name),BIOG_MAIN,c_name,,Text,False,,
104,biog_main,姓名(中)(name_chn),BIOG_MAIN,c_name_chn,,Text,False,,
,,,BIOG_MAIN,c_name_proper,,Text,True,,
,,,BIOG_MAIN,c_name_rm,,Text,True,,
138,biog_main,注,BIOG_MAIN,c_notes,,Memo,True,,
102,biog_main,person id,BIOG_MAIN,c_personid,Primary Key,Long,False,,
129,biog_main,(surname),BIOG_MAIN,c_surname,,Text,True,,
130,biog_main,姓(surname_chn),BIOG_MAIN,c_surname_chn,,Text,True,,
