AccessTblNm,AccessFldNm,IndexOnField,DataFormat,NULL_allowed,ForeignKey,ForeignKeyBaseField
EVENTS_ADDR,c_yr_range,,Integer,True,,
EVENTS_ADDR,c_intercalary,,Yes/No,True,,
EVENTS_ADDR,c_month,,Integer,True,,
EVENTS_ADDR,c_day,,Integer,True,,
EVENTS_ADDR,c_day_ganzhi,,Integer,True,,
EVENTS_DATA,c_personid,Primary Key,Long,False,,
EVENTS_DATA,c_sequence,Primary Key,Integer,False,,
EVENTS_DATA,c_event_code,Primary Key,Long,False,,
EVENTS_DATA,c_role,,Text,True,,
EVENTS_DATA,c_year,,Long,True,,
EVENTS_DATA,c_nh_code,,Integer,True,,
EVENTS_DATA,c_nh_year,,Long,True,,
EVENTS_DATA,c_yr_range,,Integer,True,,
EVENTS_DATA,c_intercalary,,Yes/No,True,,
EVENTS_DATA,c_month,,Long,True,,
EVENTS_DATA,c_day,,Long,True,,
EVENTS_DATA,c_day_ganzhi,,Integer,True,,
EVENTS_DATA,c_addr_id,,Long,True,,
EVENTS_DATA,c_source,,Long,True,,
EVENTS_DATA,c_pages,,Text,True,,
EVENTS_DATA,c_event,,Memo,True,,
EVENTS_DATA,c_notes,,Text,True,,
EVENTS_DATA,c_created_by,,Text,True,,
EVENTS_DATA,c_modified_by,,Text,True,,
EVENTS_DATA,c_created_date,,Date/Time,True,,
EVENTS_DATA,c_modified_date,,Date/Time,True,,
EXTANT_CODES,c_extant_code,Primary Key,Integer,False,,
EXTANT_CODES,c_extant_desc,,Text,False,,
EXTANT_CODES,c_extant_desc_chn,,Text,False,,
ForeignKeys,AccessTblNm,Primary Key,Text,True,,
ForeignKeys,AccessFldNm,Primary Key,Text,True,,
ForeignKeys,ForeignKey,,Text,True,,
ForeignKeys,ForeignKeyBaseField,,Text,True,,
ForeignKeys,FKString,,Text,True,,
ForeignKeys,FKName,,Text,True,,
ForeignKeys,skip,,Integer,True,,
ForeignKeys,IndexOnField,,Text,True,,
ForeignKeys,DataFormat,,Text,True,,
ForeignKeys,NULL_allowed,,Yes/No,True,,
FormLabels,c_form,Primary Key,Text,True,,
FormLabels,c_label_id,Primary Key,Integer,True,,
FormLabels,c_english,,Text,True,,
FormLabels,c_jianti,,Text,True,,
FormLabels,c_fanti,,Text,True,,
GANZHI_CODES,c_ganzhi_code,Primary Key,Integer,False,,
GANZHI_CODES,c_ganzhi_chn,,Text,False,,
GANZHI_CODES,c_ganzhi_py,,Text,False,,
HOUSEHOLD_STATUS_CODES,c_household_status_code,Primary Key,Integer,False,,
HOUSEHOLD_STATUS_CODES,c_household_status_desc,,Text,False,,
HOUSEHOLD_STATUS_CODES,c_household_status_desc_chn,,Text,False,,
INDEXYEAR_TYPE_CODES,c_index_year_type_code,Primary Key,Text,False,,
INDEXYEAR_TYPE_CODES,c_index_year_type_desc,,Text,False,,
INDEXYEAR_TYPE_CODES,c_index_year_type_hz,,Text,False,,
INDEXYEAR_TYPE_CODES,c_notes,,Text,True,,
KIN_DATA,c_personid,Primary Key,Long,False,,
KIN_DATA,c_kin_id,Primary Key,Long,False,,
KIN_DATA,c_kin_code,Primary Key,Integer,False,,
KIN_DATA,c_source,,Long,True,,
KIN_DATA,c_pages,,Text,True,,
KIN_DATA,c_notes,,Memo,True,,
KIN_DATA,c_autogen_notes,,Memo,True,,
KIN_DATA,c_created_by,,Text,True,,
KIN_DATA,c_modified_by,,Text,True,,
KIN_DATA,c_created_date,,Date/Time,True,,
KIN_DATA,c_modified_date,,Date/Time,True,,
KIN_Mourning,c_kinrel,Primary Key,Text,True,,
KIN_Mourning,c_kinrel_alt,,Text,True,,
