AccessTblNm,AccessFldNm,ForeignKey,ForeignKeyBaseField,RelationName
KIN_DATA,c_source,TEXT_CODES,c_textid,TEXT_CODESKIN_DATA1
MERGED_PERSON_DATA,c_source,TEXT_CODES,c_textid,MERGED_PERSON_SOURCE
NIAN_HAO,c_dy,DYNASTIES,c_dy,DYNASTIESNIAN_HAO
nian_hao,c_dy,dynasties,c_dy,dynasty
OFFICE_CODES,c_dy,DYNASTIES,c_dy,DYNASTIESOFFICE_CODES1
office_codes,c_dy,dynasties,c_dy,OFFICE_CODES_dynasty
office_codes,c_source,TEXT_CODES,c_textid,OFFICE_CODES_SOURCE_TEXT_CODES
OFFICE_CODES,c_source,TEXT_CODES,c_textid,TEXT_CODESOFFICE_CODES1
OFFICE_CODE_TYPE_REL,c_office_id,OFFICE_CODES,c_office_id,OFFICE_CODE_TYPE_REL_OFFICE_ID
OFFICE_CODE_TYPE_REL,c_office_id,OFFICE_CODES,c_office_id,OFFICE_CODESOFFICE_CODE_TYPE_REL
OFFICE_CODE_TYPE_REL,c_office_tree_id,OFFICE_TYPE_TREE,c_office_type_node_id,OFFICE_CODE_TYPE_REL_OFFICE_TYPE_TREE
OFFICE_CODE_TYPE_REL,c_office_tree_id,OFFICE_TYPE_TREE,c_office_type_node_id,OFFICE_TYPE_TREEOFFICE_CODE_TYPE_REL
OFFICE_TYPE_TREE,c_parent_id,OFFICE_TYPE_TREE,c_office_type_node_id,OFFICE_TYPE_TREE_PARENT
possession_addr,c_addr_id,ADDR_CODES,c_addr_id,POSSESSION_ADDR_ADDR_ID
possession_addr,c_personid,BIOG_MAIN,c_personid,POSSESSION_ADDR_PERSON_ID
possession_addr,c_possession_record_id,possession_data,c_possession_record_id,POSSESSION_ADDR_possession_id
POSSESSION_DATA,c_addr_id,ADDR_CODES,c_addr_id,ADDR_CODESPOSSESSION_DATA1
possession_data,c_addr_id,ADDR_CODES,c_addr_id,POSSESSION_DATA_ADDR_ID
POSSESSION_DATA,c_measure_code,MEASURE_CODES,c_measure_code,MEASURE_CODESPOSSESSION_DATA
possession_data,c_measure_code,MEASURE_CODES,c_measure_code,POSSESSION_DATA_MEASURE_CODE
POSSESSION_DATA,c_personid,BIOG_MAIN,c_personid,BIOG_MAINPOSSESSION_DATA
possession_data,c_personid,BIOG_MAIN,c_personid,POSSESSION_DATA_PERSON_ID
POSSESSION_DATA,c_possession_act_code,POSSESSION_ACT_CODES,c_possession_act_code,POSSESSION_ACT_CODESPOSSESSION_DATA
possession_data,c_possession_act_code,possession_act_codes,c_possession_act_code,POSSESSION_DATA_possession_act_code
POSSESSION_DATA,c_possession_nh_code,NIAN_HAO,c_nianhao_id,NIAN_HAOPOSSESSION_DATA
possession_data,c_possession_nh_code,nian_hao,c_nianhao_id,POSSESSION_DATA_nian_hao
possession_data,c_possession_yr_range,year_range_codes,c_range_code,POSSESSION_DATA_year_range_code
POSSESSION_DATA,c_possession_yr_range,YEAR_RANGE_CODES,c_range_code,YEAR_RANGE_CODESPOSSESSION_DATA
possession_data,c_source,TEXT_CODES,c_textid,POSSESSION_DATA_SOURCE_TEXT_CODE
POSSESSION_DATA,c_source,TEXT_CODES,c_textid,TEXT_CODESPOSSESSION_DATA1
POSTED_TO_ADDR_DATA,c_addr_id,ADDR_CODES,c_addr_id,ADDR_CODESPOSTED_TO_ADDR_DATA1
POSTED_TO_ADDR_DATA,c_addr_id,ADDR_CODES,c_addr_id,POSTED_TO_ADDR_DATA_ADDR_ID
POSTED_TO_ADDR_DATA,c_office_id,OFFICE_CODES,c_office_id,POSTED_TO_ADDR_DATA_OFFICE_ID
POSTED_TO_ADDR_DATA,c_personid,BIOG_MAIN,c_personid,POSTED_TO_ADDR_DATA_PERSON_ID
POSTED_TO_ADDR_DATA,c_posting_id,POSTING_DATA,c_posting_id,POSTED_TO_ADDR_DATA_POSTING_ID
POSTED_TO_OFFICE_DATA,c_appt_code,APPOINTMENT_CODES,c_appt_code,POSTED_TO_OFFICE_DATA_appointment_code
POSTED_TO_OFFICE_DATA,c_assume_office_code,assume_office_codes,c_assume_office_code,POSTED_TO_OFFICE_DATA_assume_office_code
POSTED_TO_OFFICE_DATA,c_dy,dynasties,c_dy,POSTED_TO_OFFICE_DATA_dynasty
POSTED_TO_OFFICE_DATA,c_fy_day_gz,GANZHI_CODES,c_ganzhi_code,POSTED_TO_OFFICE_DATA_GANZHI_FY_DAY
POSTED_TO_OFFICE_DATA,c_fy_nh_code,nian_hao,c_nianhao_id,POSTED_TO_OFFICE_DATA_nian_hao_fy
POSTED_TO_OFFICE_DATA,c_fy_range,year_range_codes,c_range_code,POSTED_TO_OFFICE_DATA_year_range_fy
POSTED_TO_OFFICE_DATA,c_inst_code,SOCIAL_INSTITUTION_CODES,c_inst_code,POSTED_TO_OFFICE_DATA_SOCIAL_INSTITUTION_CODE
POSTED_TO_OFFICE_DATA,c_inst_name_code,SOCIAL_INSTITUTION_CODES,c_inst_name_code,POSTED_TO_OFFICE_DATA_SOCIAL_INSTITUTION_CODE
POSTED_TO_OFFICE_DATA,c_inst_name_code,SOCIAL_INSTITUTION_NAME_CODES,c_inst_name_code,POSTED_TO_OFFICE_DATA_SOCIAL_INSTITUTION_NAME_CODE
POSTED_TO_OFFICE_DATA,c_ly_day_gz,GANZHI_CODES,c_ganzhi_code,POSTED_TO_OFFICE_DATA_GANZHI_LY_DAY
POSTED_TO_OFFICE_DATA,c_ly_nh_code,nian_hao,c_nianhao_id,POSTED_TO_OFFICE_DATA_nian_hao_ly
POSTED_TO_OFFICE_DATA,c_ly_range,year_range_codes,c_range_code,POSTED_TO_OFFICE_DATA_year_range_ly
POSTED_TO_OFFICE_DATA,c_office_category_id,OFFICE_CATEGORIES,c_office_category_id,POSTED_TO_OFFICE_DATA_OFFICE_CATEGORY
POSTED_TO_OFFICE_DATA,c_office_id,OFFICE_CODES,c_office_id,POSTED_TO_OFFICE_DATA_OFFICE_ID
POSTED_TO_OFFICE_DATA,c_personid,BIOG_MAIN,c_personid,POSTED_TO_OFFICE_DATA_PERSON_ID
POSTED_TO_OFFICE_DATA,c_posting_id,POSTING_DATA,c_posting_id,POSTED_TO_OFFICE_DATA_POSTING_ID
POSTED_TO_OFFICE_DATA,c_source,TEXT_CODES,c_textid,POSTED_TO_OFFICE_DATA_SOURCE_TEXT_CODE
POSTING_DATA,c_personid,BIOG_MAIN,c_personid,BIOG_MAINPOSTING_DATA
POSTING_DATA,c_personid,BIOG_MAIN,c_personid,POSTING_DATA_PERSON_ID
SOCIAL_INSTITUTION_ADDR,c_inst_addr_id,ADDR_CODES,c_addr_id,ADDR_CODESSOCIAL_INSTITUTION_ADDR1
